vendor_name,contract_id,expiry_date,days_until_expiry,renewal_type,notice_days_required,status
TechPro Solutions Inc.,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,2024-11-30,-482,manual,,expired
Global Logistics Partners,CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement,2026-03-14,-13,manual,90,expired
Global Logistics Partners,CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement,2026-03-14,-13,manual,90,expired
TechPro Solutions Inc.,DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement,2024-11-30,-482,manual,,expired
Global Logistics Partners,DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement,2026-03-14,-13,manual,90,expired
Acme Supplies LLC,EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement,2025-12-31,-86,auto,60,expired
Global Logistics Partners,EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement,2026-03-14,-13,manual,90,expired
Acme Supplies LLC,EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement,2025-12-31,-86,auto,60,expired
TechPro Solutions Inc.,HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement,2024-11-30,-482,manual,,expired
Global Logistics Partners,ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement,2026-03-14,-13,manual,90,expired
Acme Supplies LLC,IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement,2025-12-31,-86,auto,60,expired
Global Logistics Partners,InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement,2026-03-14,-13,manual,90,expired
Acme Supplies LLC,LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement,2025-12-31,-86,auto,60,expired
Global Logistics Partners,LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement,2026-03-14,-13,manual,90,expired
TechPro Solutions Inc.,MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement,2024-11-30,-482,manual,,expired
TechPro Solutions Inc.,MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement,2024-11-30,-482,manual,,expired
TechPro Solutions Inc.,NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement,2024-11-30,-482,manual,,expired
Acme Supplies LLC,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,2025-12-31,-86,auto,60,expired
Acme Supplies LLC,PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1,2025-12-31,-86,auto,60,expired
TechPro Solutions Inc.,PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2,2024-11-30,-482,manual,,expired
Global Logistics Partners,PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement3,2026-03-14,-13,manual,90,expired
Global Logistics Partners,RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement,2026-03-14,-13,manual,90,expired
TechPro Solutions Inc.,RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement,2024-11-30,-482,manual,,expired
Global Logistics Partners,SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement,2026-03-14,-13,manual,90,expired
Acme Supplies LLC,StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement,2025-12-31,-86,auto,60,expired
TechPro Solutions Inc.,SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement,2024-11-30,-482,manual,,expired
Global Logistics Partners,TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement,2026-03-14,-13,manual,90,expired
Acme Supplies LLC,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement,2025-12-31,-86,auto,60,expired
Global Logistics Partners,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,2026-03-14,-13,manual,90,expired
TechPro Solutions Inc.,UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement,2024-11-30,-482,manual,,expired
Acme Supplies LLC,UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2,2025-12-31,-86,auto,60,expired
